u1x,u1y,u1h,u1v,u2x,u2y,u2h,u2v,u3x,u3y,u3h,u3v,u4x,u4y,u4h,u4v
5.421572875253809798e+01,4.441279087475659537e+01,1.000000000000000000e+01,2.500009582986558510e+00,4.421572875253809798e+01,1.741279087475659892e+01,1.000000000000000000e+01,2.500009582986558510e+00,3.421572875253809798e+01,6.641279087475659537e+01,1.000000000000000000e+01,2.500009582986558510e+00,2.421572875253809798e+01,3.441279087475659537e+01,1.000000000000000000e+01,2.500009582986558510e+00
5.421572875253809798e+01,4.441279087475659537e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.421572875253809798e+01,1.741279087475659892e+01,1.000000000000000000e+01,0.000000000000000000e+00,3.421572875253809798e+01,6.641279087475659537e+01,1.000000000000000000e+01,0.000000000000000000e+00,2.421572875253809798e+01,3.441279087475659537e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.671572875253809798e+01,4.441625190872878903e+01,1.000000000000000000e+01,2.500002395750083650e+00,4.671572875253809798e+01,1.741625190872878903e+01,1.000000000000000000e+01,2.500002395750083650e+00,3.671572875253809798e+01,6.641625190872878193e+01,1.000000000000000000e+01,2.500002395750083650e+00,2.671572875253809798e+01,3.441625190872878903e+01,1.000000000000000000e+01,2.500002395750083650e+00
5.671572875253809798e+01,4.441625190872878903e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.671572875253809798e+01,1.741625190872878903e+01,1.000000000000000000e+01,0.000000000000000000e+00,3.671572875253809798e+01,6.641625190872878193e+01,1.000000000000000000e+01,0.000000000000000000e+00,2.671572875253809798e+01,3.441625190872878903e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.921572875253809798e+01,4.441798242571488231e+01,1.000000000000000000e+01,2.500000598937735852e+00,4.921572875253809798e+01,1.741798242571488586e+01,1.000000000000000000e+01,2.500000598937735852e+00,3.921572875253809798e+01,6.641798242571488231e+01,1.000000000000000000e+01,2.500000598937735852e+00,2.921572875253809798e+01,3.441798242571488231e+01,1.000000000000000000e+01,2.500000598937735852e+00
6.171572875253809798e+01,4.441884768420793250e+01,1.000000000000000000e+01,2.500000149734447508e+00,5.171572875253809798e+01,1.741884768420793250e+01,1.000000000000000000e+01,2.500000149734447508e+00,4.171572875253809798e+01,6.641884768420793250e+01,1.000000000000000000e+01,2.500000149734447508e+00,3.171572875253809798e+01,3.441884768420793250e+01,1.000000000000000000e+01,2.500000149734447508e+00
6.421572875253809798e+01,4.441928031345445760e+01,1.000000000000000000e+01,2.500000037433612654e+00,5.421572875253809798e+01,1.741928031345445760e+01,1.000000000000000000e+01,2.500000037433612654e+00,4.421572875253809798e+01,6.641928031345446470e+01,1.000000000000000000e+01,2.500000037433612654e+00,3.421572875253809798e+01,3.441928031345445760e+01,1.000000000000000000e+01,2.500000037433612654e+00
6.671572875253809798e+01,4.441949662807772370e+01,1.000000000000000000e+01,2.500000009358403386e+00,5.671572875253809798e+01,1.741949662807772015e+01,1.000000000000000000e+01,2.500000009358403386e+00,4.671572875253809798e+01,6.641949662807772370e+01,1.000000000000000000e+01,2.500000009358403386e+00,3.671572875253809798e+01,3.441949662807772370e+01,1.000000000000000000e+01,2.500000009358403386e+00
6.921572875253809798e+01,4.441960478538935320e+01,1.000000000000000000e+01,2.500000002339600957e+00,5.921572875253809798e+01,1.741960478538935320e+01,1.000000000000000000e+01,2.500000002339600957e+00,4.921572875253809798e+01,6.641960478538935320e+01,1.000000000000000000e+01,2.500000002339600957e+00,3.921572875253809798e+01,3.441960478538935320e+01,1.000000000000000000e+01,2.500000002339600957e+00
7.171572875253809798e+01,4.441965886404516795e+01,1.000000000000000000e+01,2.500000000584900128e+00,6.171572875253809798e+01,1.741965886404516795e+01,1.000000000000000000e+01,2.500000000584900128e+00,5.171572875253809798e+01,6.641965886404517505e+01,1.000000000000000000e+01,2.500000000584900128e+00,4.171572875253809798e+01,3.441965886404516795e+01,1.000000000000000000e+01,2.500000000584900128e+00
